"T1_1h_R1";"T1_2h_R1";"T1_3h_R1";"T1_4h_R1";"T1_5h_R1";"T1_6h_R1";"T2_1h_R1";"T2_2h_R1";"T2_3h_R1";"T2_4h_R1";"T2_5h_R1";"T2_6h_R1";"T3_1h_R1";"T3_2h_R1";"T3_3h_R1";"T3_4h_R1";"T3_5h_R1";"T3_6h_R1";"T1_1h_R2";"T1_2h_R2";"T1_3h_R2";"T1_4h_R2";"T1_5h_R2";"T1_6h_R2";"T2_1h_R2";"T2_2h_R2";"T2_3h_R2";"T2_4h_R2";"T2_5h_R2";"T2_6h_R2";"T3_1h_R2";"T3_2h_R2";"T3_3h_R2";"T3_4h_R2";"T3_5h_R2";"T3_6h_R2"
"G11";-0.331802050521171;0.174169380682648;-1.11847922626824;-0.218736565530577;0.712489283794862;-0.474304851479874;-0.411153545905842;-1.84474925353687;-3.79664173603677;-2.410198426691;-2.33893216869092;-2.79877693469778;-1.31052960736529;-2.71893011583787;-2.84151707404719;-3.44374557785301;-3.01310199015899;-2.73045848715986;-0.242850930143098;-1.13947151697916;-1.19492287877368;-1.05767158742028;0.106222441580935;0.382017521211207;-1.16147336881697;-2.79422192207813;-3.17020955240882;-3.09330468278364;-2.89783997724155;-2.92523269319917;-0.561885984886049;-3.82487285743956;-3.70867377467152;-2.8778237277433;-2.92826844061578;-3.03027023669991
"G12";-0.118609430724618;-0.500099044335125;0.288456318713876;-0.00186574808363438;-0.171403403222718;0.0195860392362692;-0.624966835408978;0.225660184858136;1.8176983726618;2.786033799821;3.05267957714635;3.82849772219101;0.0242691096154557;1.01854294020056;1.89944491616417;3.0387749170849;3.30070660914925;3.63977092907464;0.191060836754002;-0.362295567518287;-0.309780430696532;0.153210420000064;-0.000325956483655965;0.208532010945373;-0.247190545336297;0.464327658282969;1.66866613375373;2.8734714414521;3.53149774108731;3.84293699308631;0.0189560194868323;0.20584607100774;1.62714883148042;3.40689922698526;3.72185198912349;3.68262845853383
"G13";-0.103320951540448;-0.0390024102942732;0.101342171609428;-0.0724713897653135;0.0621958810039516;0.00872801302384474;-0.405377160684575;-2.08031420458131;-4.78946968181283;-4.66121811455004;-4.02922561205747;-4.52345079884062;-0.860600904146734;-2.5165520533713;-4.85816785832821;-5.08374424510736;-4.38679537838803;-3.50537811045089;-0.281000514851376;-0.437304710195637;0.185812274169091;-0.878337438270158;-0.681217627359531;-0.984228785611264;-0.298504675586411;-2.69427240028478;-3.25730041960257;-4.57114367498847;-5.01957576700853;-6.23568875993976;-0.961751932880679;-3.46386128592842;-5.14374804492999;-7.2214740471847;-6.92818946108565;-7.06991942714101
"G14";-0.132064102136638;-0.38813940525347;0.221614481761446;-0.0374142212089463;-0.385277686218227;0.00475017198868066;0.176020764493498;0.599280458334518;1.41447500968719;1.88844082893666;1.41027859932358;1.80443491759492;0.0820760288254503;1.00053929013245;1.71743104857713;1.78860796127602;1.92807178654406;2.22654787115399;-0.0124727920172063;-0.267267022917776;0.00823220925847057;-0.298295251847241;-0.640854232049183;-0.712152706822764;0.340334276155631;1.39043454631644;1.48908697205705;1.93331082078685;2.09373928186228;2.26812840392506;-0.0105154852109326;1.4861326037062;1.6001828884388;1.83126850869174;1.81048619819226;2.29490882134804
"G15";0.0753236667805508;-0.18336324286538;0.207277609477681;-0.140282597663465;0.0192661061037516;0.255891417060158;-0.155797269236874;-1.18415099659401;-2.11516085074312;-3.01406660650294;-3.19092329697752;-4.00738136534694;-0.416531879268341;-1.15294901150957;-1.10124718967472;-2.51342312534486;-2.87210364968686;-2.67324624758321;-0.0310135872287525;-0.198494038770401;-0.344235948494545;0.29673530840247;0.436671348755703;0.54212859905715;-0.728077863752532;-1.16305821827774;-1.60062300394695;-1.54832938044305;-1.94460296887362;-2.88975930770194;-0.740800179240299;-0.929145980656182;-1.36514336622757;-2.07207465667816;-2.32853920668908;-3.55155829724
"G16";0.0339696128879861;0.372785167472826;-0.42161982772446;0.0137165772383274;0.738904807655751;-0.60430630556298;0.93198450198197;2.80225195988367;3.85466303302592;3.47176300611161;3.32729545296464;2.87715283226595;0.694101785553018;3.10718656911857;3.7116377462158;3.58595306622483;3.24043329461572;2.56593087296056;-0.0369094566081354;0.351181158298411;0.0478507077960195;-0.386045344221138;0.587760575803094;-0.346661951160391;1.05495490433001;3.14481735135045;3.52348246113138;3.15141605174732;3.06129001634229;2.65469633165786;0.883628513712007;3.63621432785926;3.57438013141676;3.55515818559955;3.47541546344411;2.63327225478575
"G17";-0.0324127018466806;0;0;-0.304266766946664;0.0434040132504468;0;-0.0324127018466806;0.385872235415333;1.08438689088825;2.57886395098158;2.78779082647674;3.19854585917881;-0.0324127018466806;0.395160379865075;1.48137833610955;2.35865086744063;3.08227464098502;2.42993506899557;0.500335877285814;0;0;-0.304266766946664;-0.0414425758746092;0.091695050750277;-0.0324127018466806;0;0.626432183627942;2.20013838366283;2.45720192948111;2.1370139201067;-0.0324127018466806;0.322842653888243;1.00428789426121;2.16271397162927;2.73426046592442;2.57372800920888
"G18";-0.0944408597325261;0.410069099610826;-0.0843361086487078;-0.30656781407676;-0.363939445756329;0.0774214862387401;1.03521620392504;-0.801859080445665;-3.09076636058295;-4.21553683898876;-3.69829290083223;-3.61281448838487;0.312929442213103;-1.17272443719903;-2.1472498285148;-4.65431127108839;-4.23834763344831;-2.8923247079895;-0.435696782099866;-0.22618776982559;0.0829361800347441;-0.0337180685153298;0.247767131189927;-0.0942305470760778;0.280030412002509;-1.05329594050291;-2.10534808437067;-2.67302728467945;-3.28763615180342;-3.40829978572851;-0.348815639645688;-1.9449650702587;-2.77281401329317;-3.80581947556316;-3.8089136984871;-3.73360546121531
"G19";0.113509438716438;-0.296987839197729;-0.134348386557891;0.0712419467873033;-0.59324438785282;0.70293521587314;0.168175731135901;-1.33944054125092;-2.85552891826582;-3.44669952739525;-4.29654701607152;-3.84355988250833;0.559210151739697;-1.33833717475525;-2.61519518388523;-3.55536144554457;-4.37518707854444;-3.60519331482593;-0.147530287294969;-0.0440089272244855;-0.440466201714157;0.175142619237843;-0.461025834055017;0.743676436429484;-0.135373658466643;-1.45001797521111;-2.23512437181807;-3.78030632194398;-4.10841287040306;-4.47172810231971;-0.275317225689991;-1.40623300584502;-2.20499554535082;-3.1804119271305;-3.9408392779274;-4.66868016278168
"G20";-0.0154905676156654;0.0616045689657092;-0.0542210887693401;0.903441371366071;-0.244802192966031;-0.302601580241447;-0.262524419182882;0.170925440237035;0.972305389433066;3.01140302507977;2.84322923734404;2.77541910547661;-0.133792526616831;0.676525068192871;0.936529524264376;3.36934819248144;3.1043611440827;2.63871651133913;0.178264315661851;-0.0334840878204993;0.83162061900154;-0.341716395111092;-0.267789871686332;-0.325781083895135;-0.144259706601111;0.163411228587723;0.848048230170995;2.47560023726103;2.15813619630903;2.49658757993657;0.310146175133626;0.401177815127625;1.46356690979781;2.27601556645717;2.40895192326392;2.29976608701412
